Entidad,Municipio,Subdelegacion,Clues,Tipo,Nombre,Nivel,Situacion,Latitud,Longitud,Tipo Vialidad,Vialidad,Numero,Tipo Asentamiento,Asentamiento,CP,Direccion Completa,Nombre Completo
Ciudad de México,Cuauhtémoc,Ciudad de México Zona Norte,DFIST000802,Consultorio Médico en Centro de Trabajo,No. 22 COFAA del IPN,Primer Nivel,Convenio,19.4283,-99.1514,Calle,Tres Guerras,S/N,Colonia,Centro,6040,"Calle Tres Guerras S/N, Colonia Centro, Cuauhtémoc, Ciudad de México, CP. 6040",CMCT No. 22 COFAA del IPN
Ciudad de México,Cuauhtémoc,Ciudad de México Zona Norte,DFIST000406,Clínica de Medicina Familiar,San Antonio Abad,Primer Nivel,Propia,19.4143,-99.1342,Calle,Manuel J. Othón,S/N,Colonia,Tránsito,6820,"Calle Manuel J. Othón S/N, Colonia Tránsito, Cuauhtémoc, Ciudad de México, CP. 6820",CMF San Antonio Abad
Ciudad de México,Cuauhtémoc,Ciudad de México Zona Norte,DFIST000411,Clínica de Medicina Familiar,"Dr. Javier Domínguez Estrada, Chapultepec",Primer Nivel,Propia,19.4197,-99.1771,Circuito,José Vasconcelos,S/N,Colonia,Condesa,6140,"Circuito José Vasconcelos S/N, Colonia Condesa, Cuauhtémoc, Ciudad de México, CP. 6140","CMF Dr. Javier Domínguez Estrada, Chapultepec"
Ciudad de México,Miguel Hidalgo,Ciudad de México Zona Norte,DFIST000983,Consultorio Médico en Centro de Trabajo,No. 50 SAGARPA,Primer Nivel,Convenio,19.4051,-99.1767,Avenida,Benjamin Franklin,S/N,Colonia,Escandón,11800,"Avenida Benjamin Franklin S/N, Colonia Escandón, Miguel Hidalgo, Ciudad de México, CP. 11800",CMCT No. 50 SAGARPA
Ciudad de México,Cuauhtémoc,Ciudad de México Zona Norte,DFIST000843,Consultorio Médico en Centro de Trabajo,No. 55 PFC,Primer Nivel,Convenio,19.4135,-99.1804,Circuito,José Vasconselos,S/N,Colonia,Condesa,6140,"Circuito José Vasconselos S/N, Colonia Condesa, Cuauhtémoc, Ciudad de México, CP. 6140",CMCT No. 55 PFC
Ciudad de México,Miguel Hidalgo,Ciudad de México Zona Norte,DFIST001041,Consultorio Médico en Centro de Trabajo,Presidencia I,Primer Nivel,Convenio,19.3977,-99.216,Avenida, Constituyentes,S/N,Colonia,San Miguel Chapultepec,11850,"Avenida  Constituyentes S/N, Colonia San Miguel Chapultepec, Miguel Hidalgo, Ciudad de México, CP. 11850",CMCT Presidencia I
Ciudad de México,Cuauhtémoc,Ciudad de México Zona Norte,PENDIENTE,Consultorio Médico en Centro de Trabajo,Dirección de Inversiones y Recaudación,Primer Nivel,Convenio,19.4335,-99.1664,Calle,Rio Rhin,3,Colonia,Cuauhtémoc,6500,"Calle Rio Rhin 3, Colonia Cuauhtémoc, Cuauhtémoc, Ciudad de México, CP. 6500",CMCT Dirección de Inversiones y Recaudación
Ciudad de México,Cuauhtémoc,Ciudad de México Zona Norte,DFIST000423,Clínica de Medicina Familiar,Peralvillo,Primer Nivel,Propia,19.4497,-99.1278,Calle,Constancia,S/N,Colonia,Morelos,6200,"Calle Constancia S/N, Colonia Morelos, Cuauhtémoc, Ciudad de México, CP. 6200",CMF Peralvillo
Ciudad de México,Cuauhtémoc,Ciudad de México Zona Norte,DFIST000855,Consultorio Médico en Centro de Trabajo,No. 20 SRE,Primer Nivel,Convenio,19.4335,-99.1442,Avenida,Juárez,S/N,Colonia,Centro,6010,"Avenida Juárez S/N, Colonia Centro, Cuauhtémoc, Ciudad de México, CP. 6010",CMCT No. 20 SRE
Ciudad de México,Cuauhtémoc,Ciudad de México Zona Norte,PENDIENTE,Consultorio Médico en Centro de Trabajo,Sria. de Gobernación Talleres Gráficos,Primer Nivel,Convenio,19.4528,-99.1263,Avenida,Canal del Norte,"80, Interior16",Colonia,Felipe Pescador,6280,"Avenida Canal del Norte 80, Interior16, Colonia Felipe Pescador, Cuauhtémoc, Ciudad de México, CP. 6280",CMCT Sria. de Gobernación Talleres Gráficos
Ciudad de México,Cuauhtémoc,Ciudad de México Zona Norte,DFIST000435,Clínica de Medicina Familiar,Guerrero,Primer Nivel,Propia,19.4411,-99.1482,Avenida,Guerrero,S/N,Colonia,Guerrero,6300,"Avenida Guerrero S/N, Colonia Guerrero, Cuauhtémoc, Ciudad de México, CP. 6300",CMF Guerrero
Ciudad de México,Cuauhtémoc,Ciudad de México Zona Norte,DFIST000336,Consultorio Médico en Centro de Trabajo,No. 51 ISSSTE,Primer Nivel,Propia,19.4353,-99.1511,Calle,Jesús Garcia Corona ,S/N,Colonia,Buenavista ,6350,"Calle Jesús Garcia Corona  S/N, Colonia Buenavista , Cuauhtémoc, Ciudad de México, CP. 6350",CMCT No. 51 ISSSTE
Ciudad de México,Cuauhtémoc,Ciudad de México Zona Norte,DFIST000860,Consultorio Médico en Centro de Trabajo,SHCP Complejo Hidalgo No. 1,Primer Nivel,Convenio,19.4374,-99.1447,Avenida,Hidalgo,S/N,Colonia,Guerrero,6300,"Avenida Hidalgo S/N, Colonia Guerrero, Cuauhtémoc, Ciudad de México, CP. 6300",CMCT SHCP Complejo Hidalgo No. 1
Ciudad de México,Cuauhtémoc,Ciudad de México Zona Norte,DFIST000872,Consultorio Médico en Centro de Trabajo,Fomento Deportivo ISSSTE,Primer Nivel,Rentada,19.4343,-99.1532,Avenida,Paseo de la Reforma ,S/N,Colonia,Guerrero,6030,"Avenida Paseo de la Reforma  S/N, Colonia Guerrero, Cuauhtémoc, Ciudad de México, CP. 6030",CMCT Fomento Deportivo ISSSTE
Ciudad de México,Cuauhtémoc,Ciudad de México Zona Norte,DFIST000884,Consultorio Médico en Centro de Trabajo,Sindicato Nacional de la SHCP,Primer Nivel,Convenio,19.4514,-99.1409,Avenida,Ricardo Flores Magon ,S/N,Colonia,Guerrero,6900,"Avenida Ricardo Flores Magon  S/N, Colonia Guerrero, Cuauhtémoc, Ciudad de México, CP. 6900",CMCT Sindicato Nacional de la SHCP
Ciudad de México,Cuauhtémoc,Ciudad de México Zona Norte,DFIST000896,Consultorio Médico en Centro de Trabajo,SHCP Complejo Hidalgo No. 2,Primer Nivel,Convenio,19.4393,-99.1441,Avenida,Hidalgo,S/N,Colonia,Guerrero,6300,"Avenida Hidalgo S/N, Colonia Guerrero, Cuauhtémoc, Ciudad de México, CP. 6300",CMCT SHCP Complejo Hidalgo No. 2
Ciudad de México,Cuauhtémoc,Ciudad de México Zona Norte,DFIST000901,Consultorio Médico en Centro de Trabajo,SHCP (Antes Caballito),Primer Nivel,Convenio,19.4364,-99.149,Avenida,Paseo de la Reforma ,S/N,Colonia,Tabacalera ,6030,"Avenida Paseo de la Reforma  S/N, Colonia Tabacalera , Cuauhtémoc, Ciudad de México, CP. 6030",CMCT SHCP (Antes Caballito)
Ciudad de México,Cuauhtémoc,Ciudad de México Zona Norte,DFIST000440,Clínica de Medicina Familiar,Santa María,Primer Nivel,Propia,19.4477,-99.1619,Avenida,José Antonio Alzate,S/N,Colonia,Santa María La Ribera,6400,"Avenida José Antonio Alzate S/N, Colonia Santa María La Ribera, Cuauhtémoc, Ciudad de México, CP. 6400",CMF Santa María
